
7月 08, 2018 21:06:17.67 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.67 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.67 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.67 [3488:3016:0708/210617.589:ERROR:in_progress_cache_impl.cc(93)] Could not read download entries from file because there was a read failure.
7月 08, 2018 21:07:08.71 Unable to read VR Path Registry from C:\Users\Administrator\AppData\Local\openvr\openvrpaths.vrpath
7月 08, 2018 21:07:12.51 [5272:10228:0708/210712.514:ERROR:in_progress_cache_impl.cc(93)] Could not read download entries from file because there was a read failure.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:07:12.55 [5272:6436:0708/210712.553:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
